tag_id,is_qr,is_rfid,persoons_id
1000,0,1,192933
1001,1,1,147245
1002,0,0,149305
1003,1,0,670654
1004,0,1,555931
1005,1,1,471397
1006,0,0,220200
1007,1,0,987580
1008,0,1,652383
1009,1,1,897644
1010,0,0,296861
1011,1,0,845896
1012,0,1,339535
1013,1,1,413219
1014,0,0,341129
1015,1,0,840390
1016,0,1,589039
1017,1,1,508993
1018,0,0,414305
1019,1,0,740513
1020,0,1,553103
1021,1,1,845210
1022,0,0,898095
1023,1,0,611640
1024,0,1,745131
1025,1,1,673252
1026,0,0,175992
1027,1,0,209201
1028,0,1,487840
1029,1,1,672415
1030,0,0,977348
1031,1,0,647759
1032,0,1,556893
1033,1,1,730637
1034,0,0,199457
1035,1,0,185772
1036,0,1,384251
1037,1,1,111076
1038,0,0,854485
1039,0,0,204996
1040,0,0,649130
1041,0,0,508992
1042,0,0,427499
1043,0,0,207905
1044,0,0,239766
1045,0,0,121096
1046,0,0,678757
1047,0,0,461081
1048,0,0,300743
1049,0,0,768891
1050,0,0,881011
1051,0,0,744973
1052,0,0,752302
1053,0,0,263310
1054,0,0,223276
1055,0,0,515876
1056,0,0,525642
1057,0,0,470289
1058,0,0,199238
1059,0,0,280815
1060,0,0,635703
1111,0,1,639828
2222,1,1,438899
3333,0,0,619875
4444,1,0,560131
5555,0,1,256622
6666,1,0,197421
7777,1,1,392800
8888,0,0,857807
9999,1,0,985328
